System Name,School Name,Administrator,Physical Address,,,,Phone,Website,Grade Range
,,,Street,City,State,ZIP Code,,,
Adullam House Christian Academy,Adullam House Christian Academy,,7469 Georgia Rd,Wetumpka,AL,36092,334.478.3888,www.adullamhouseca.org,
Adullam House Christian Academy,Adullam House Christian Academy,,7469 Georgia Rd,Wetumpka,AL,36092,334.478.3888,www.adullamhouseca.org,
"Auburn Classical Academy, Inc.","Auburn Classical Academy, Inc.",,445 Shelton Mill Rd,Auburn,AL,36830,334.821.7081,www.auburnclassicalacademy.com,
"Auburn Classical Academy, Inc.","Auburn Classical Academy, Inc.",Information ACA,1901-B Waverly Parkway,Opelika,AL,36801,334.821.7081,www.auburnclassicalacademy.com,OK-08
Birmingham Catholic Schools,Birmingham Catholic Schools,,2121 Third Avenue North,Birmingham,AL,35203,205.838.8303,,
Birmingham Catholic Schools,Catholic High School-Huntsville,Jeremiah Russell,7301 Old Madison Pike,Huntsville,AL,35806,256.430.1760,www.jp2falcons.org,12-Sep
Birmingham Catholic Schools,Holy Family Cristo Rey High School,Berkan Alec Ciger,1832 Center Way South,Birmingham,AL,35205,205.287.9937,www.hfcristorey.org,12-Sep
Birmingham Catholic Schools,Holy Family Cristo Rey High School,Kaleb O Moode,1832 Center Way South,Birmingham,AL,35205,205.287.9937,www.hfcristorey.org,12-Sep
Birmingham Catholic Schools,Holy Family Cristo Rey High School,Kenneth Hunter Wolfe,1832 Center Way South,Birmingham,AL,35205,205.287.9937,www.hfcristorey.org,12-Sep
Birmingham Catholic Schools,Holy Family Cristo Rey High School,Berkan Alec Ciger,1832 Center Way South,Birmingham,AL,35205,205.287.9937,www.hfcristorey.org,12-Sep
Birmingham Catholic Schools,Holy Family Cristo Rey High School,Kaleb O Moode,1832 Center Way South,Birmingham,AL,35205,205.287.9937,www.hfcristorey.org,12-Sep
Birmingham Catholic Schools,Holy Family Cristo Rey High School,Kenneth Hunter Wolfe,1832 Center Way South,Birmingham,AL,35205,205.287.9937,www.hfcristorey.org,12-Sep
Birmingham Catholic Schools,Holy Family Cristo Rey High School,Berkan Alec Ciger,1832 Center Way South,Birmingham,AL,35205,205.287.9937,www.hfcristorey.org,12-Sep
Birmingham Catholic Schools,Holy Family Cristo Rey High School,Kaleb O Moode,1832 Center Way South,Birmingham,AL,35205,205.287.9937,www.hfcristorey.org,12-Sep
Birmingham Catholic Schools,Holy Family Cristo Rey High School,Kenneth Hunter Wolfe,1832 Center Way South,Birmingham,AL,35205,205.287.9937,www.hfcristorey.org,12-Sep
Birmingham Catholic Schools,Holy Family Regional School,James Bell,2300 Beasley Ave NW,Huntsville,AL,35816-4004,256.539.5221,www.holy-family-school.com,PK-08
Birmingham Catholic Schools,Holy Spirit High School,Jonathan Loper,601 James I Harrison Jr Pkwy E,Tuscaloosa,AL,35405-3208,205.553.5606,www.holyspirit-al.com,12-Jun
Birmingham Catholic Schools,Holy Spirit Regional School,Susan Judith Fletcher,619 Airport Rd SW,Huntsville,AL,35802-4358,256.881.4852,www.hstigers.org,PK-08
Birmingham Catholic Schools,Holy Spirit Regional School,Regina Duffy,619 Airport Rd SW,Huntsville,AL,35802-4358,256.881.4852,www.hstigers.org,PK-08
